# Surface API — extraction déterministe (v2)
#
# Généré par extract-routes.sh v2
# Date : 2026-06-27
#
# Format : ROUTE | METHODS | AUTH_CATEGORY | GUARD_DETAIL | ROLE_CONSTRAINTS | PRISMA_MUTATIONS

/api/admin/activities | GET | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | none
/api/auth/[...nextauth] | NONE | PUBLIC | none | none | none
/api/auth/resend-activation | POST | PUBLIC | none | none | prisma.user.update;
/api/auth/reset-password | POST | PUBLIC | none | none | prisma.user.update;
/api/bilan-gratuit/dismiss | POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | prisma.parentProfile.update;
/api/bilan-gratuit | POST | PUBLIC | none | UserRole.ELEVE;UserRole.PARENT; | none
/api/bilan-gratuit/status | GET | INLINE_AUTH | auth() | none | none
/api/bilan-pallier2-maths/retry | POST | CENTRALIZED | await requireAnyRole(; | none | prisma.diagnostic.update;
/api/bilan-pallier2-maths | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH'] as unknown as Parameters<typeof requireAnyRole>[0]); | none | prisma.diagnostic.create;prisma.diagnostic.update;
/api/bilans/generate | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH']); | none | prisma.bilan.update;
/api/bilans/[id]/export | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH']);requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH', 'ELEVE', 'PARENT']); | user.role === 'PARENT';; role === 'PARENT'; | none
/api/bilans/[id] | DELETE,GET,PUT | CENTRALIZED | requireAnyRole(['ADMIN']);requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH']);requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH', 'ELEVE', 'PARENT']); | none | prisma.bilan.delete;prisma.bilan.update;
/api/bilans | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH']); | userRole === 'COACH'; | prisma.bilan.create;
/api/coach/dashboard | GET | INLINE_AUTH | auth() | session.user.role !== 'COACH';; user.role !== 'COACH';; role !== 'COACH'; | none
/api/coach/eaf-stage-printemps/students | GET | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/eaf-stage-printemps/students/[studentId]/report/regenerate | POST | CENTRALIZED | requireRole('COACH'); | none | prisma.bilan.update;
/api/coach/eaf-stage-printemps/students/[studentId]/report | GET,PATCH,POST | CENTRALIZED | requireRole('COACH'); | none | prisma.bilan.create;prisma.bilan.update;
/api/coaches/availability | DELETE,GET,POST | INLINE_AUTH | auth() | session.user.role !== 'COACH';session.user.role === 'COACH';; user.role !== 'COACH';user.role === 'COACH';; role !== 'COACH';role === 'COACH'; | prisma.coachAvailability.createMany;prisma.coachAvailability.delete;prisma.coachAvailability.deleteMany;
/api/coaches/available | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';session.user.role !== 'PARENT';; user.role !== 'ELEVE';user.role !== 'PARENT';; role !== 'ELEVE';role !== 'PARENT'; | none
/api/coach/maths-premiere-stage-printemps/students | GET | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/maths-premiere-stage-printemps/students/[studentId]/regenerate-parent | POST | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/maths-premiere-stage-printemps/students/[studentId]/regenerate-student | POST | CENTRALIZED | requireRole('COACH'); | none | prisma.bilan.update;
/api/coach/maths-premiere-stage-printemps/students/[studentId]/report | GET,PATCH,POST | CENTRALIZED | requireRole('COACH'); | none | prisma.bilan.create;prisma.bilan.update;
/api/coach/nsi-pratique-2026/students | GET | CENTRALIZED | requireAnyRole(['COACH', 'ADMIN']); | none | none
/api/coach/nsi-pratique-2026/students/[studentId]/progress | GET | CENTRALIZED | requireAnyRole(['COACH', 'ADMIN']); | none | none
/api/coach/sessions/[sessionId]/report | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'ADMIN';session.user.role !== 'ASSISTANTE';session.user.role !== 'COACH';; user.role !== 'ADMIN';user.role !== 'ASSISTANTE';user.role !== 'COACH';; role !== 'ADMIN';role !== 'ASSISTANTE';role !== 'COACH'; | none
/api/coach/stages | GET | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/students/eam-summary | GET | INLINE_AUTH | auth() | session.user.role !== "COACH";; user.role !== "COACH";; role !== "COACH"; | none
/api/coach/students | GET | CENTRALIZED | requireRole(UserRole.COACH); | UserRole.COACH; | none
/api/coach/students/[studentId]/bilan-diagnostic-maths-terminale | GET,PATCH | CENTRALIZED | requireRole('COACH'); | none | prisma.bilan.update;
/api/coach/students/[studentId]/documents | GET,POST | CENTRALIZED | requireRole('COACH'); | none | prisma.userDocument.create;
/api/coach/students/[studentId]/dossier | GET | INLINE_AUTH | auth() | role !== 'ADMIN';role !== 'COACH';role === 'COACH'; | none
/api/coach/students/[studentId]/eaf-preparation-report | GET,PUT | CENTRALIZED | requireRole('COACH'); | none | prisma.eafPreparationReport.upsert;
/api/coach/students/[studentId]/eaf-preparation-report/validate | POST | CENTRALIZED | requireRole('COACH'); | none | prisma.eafPreparationReport.update;
/api/coach/students/[studentId]/generated-reports/[reportId]/download | GET | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/students/[studentId]/generated-reports/[reportId]/generate | POST | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/students/[studentId]/generated-reports/[reportId]/regenerate | POST | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/students/[studentId]/generated-reports | GET,POST | CENTRALIZED | requireRole('COACH'); | none | none
/api/coach/students/[studentId]/notes | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'COACH';; user.role !== 'COACH';; role !== 'ADMIN';role !== 'COACH';role === 'COACH'; | prisma.coachNote.create;
/api/coach/students/[studentId] | GET | CENTRALIZED | requireRole(UserRole.COACH); | UserRole.COACH; | none
/api/coach/students/[studentId]/survival-mode | POST | INLINE_AUTH | auth() | role === 'COACH'; | prisma.coachNote.create;prisma.student.update;
/api/coach/trajectory | POST | INLINE_AUTH | auth() | session.user.role !== "ADMIN";session.user.role !== "COACH";; user.role !== "ADMIN";user.role !== "COACH";; role !== "ADMIN";role !== "COACH"; | prisma.trajectory.create;prisma.trajectory.updateMany;
/api/contact | POST | PUBLIC | none | none | none
/api/diagnostics/definitions | GET | PUBLIC | none | none | none
/api/documents/[id] | GET | INLINE_AUTH | auth() | UserRole.ADMIN;UserRole.ASSISTANTE; | none
/api/eam/progress | GET,POST | INLINE_AUTH | auth() | user.role !== "ELEVE";; role !== "ELEVE"; | none
/api/eleve/bilan-diagnostic-maths-terminale | GET,POST | CENTRALIZED | requireRole('ELEVE'); | none | prisma.bilan.create;prisma.bilan.update;
/api/eleve/nsi-pratique-2026/progress | GET,PUT | CENTRALIZED | requireRole('ELEVE'); | none | prisma.nsiPracticeProgress.upsert;
/api/eleve/questionnaire-eaf-stage-printemps | GET,POST | CENTRALIZED | requireRole('ELEVE'); | none | prisma.bilan.create;prisma.bilan.update;
/api/eleve/questionnaire-maths-premiere-stage-printemps | GET,POST | CENTRALIZED | requireRole('ELEVE'); | none | prisma.bilan.create;prisma.bilan.update;
/api/eleve/stages | GET | CENTRALIZED | requireRole('ELEVE'); | none | none
/api/health | GET | PUBLIC | none | none | none
/api/internal/health | GET | RBAC | enforcePolicy('admin.dashboard'); | none | none
/api/invoices/[id]/pdf | GET | INLINE_AUTH | auth() | none | none
/api/invoices/[id]/receipt/pdf | GET | INLINE_AUTH | auth() | none | prisma.invoice.update;
/api/lamis/attempt | POST | PUBLIC | none | none | none
/api/lamis/exercises | GET | PUBLIC | none | none | none
/api/lamis/export | GET,POST | PUBLIC | none | none | none
/api/lamis/progress | GET,POST | PUBLIC | none | none | none
/api/lamis/teacher-report | GET,POST | PUBLIC | none | none | none
/api/me/next-step | GET | INLINE_AUTH | auth() | none | none
/api/messages/conversations | GET | INLINE_AUTH | auth() | none | none
/api/messages/send | POST | INLINE_AUTH | auth() | none | prisma.message.create;
/api/newsletter | POST | PUBLIC | none | none | none
/api/notifications | GET,PATCH | INLINE_AUTH | auth() | none | prisma.notification.update;prisma.notification.updateMany;
/api/notify/email | POST | PUBLIC | none | none | none
/api/npc/files/[...path] | GET | INLINE_AUTH | auth() | none | none
/api/npc/submissions | GET,POST | INLINE_AUTH | auth() | session.user.role === 'COACH';session.user.role === 'ELEVE';session.user.role === 'PARENT';; user.role === 'COACH';user.role === 'ELEVE';user.role === 'PARENT';; role === 'COACH';role === 'ELEVE';role === 'PARENT'; | prisma.copySubmission.create;prisma.npcAuditLog.create;
/api/npc/submissions/[submissionId]/documents/[documentId] | DELETE,PATCH | INLINE_AUTH | auth() | none | prisma.copyPage.delete;prisma.copyPage.update;prisma.copySubmission.update;prisma.npcAuditLog.create;
/api/npc/submissions/[submissionId]/documents | GET,POST | INLINE_AUTH | auth() | none | prisma.aiProcessingJob.create;prisma.copyPage.create;prisma.copySubmission.update;prisma.npcAuditLog.create;
/api/npc/submissions/[submissionId]/generate | POST | INLINE_AUTH | auth() | none | prisma.aiProcessingJob.create;prisma.copySubmission.update;prisma.npcAuditLog.create;
/api/npc/uploads | POST | INLINE_AUTH | auth() | UserRole.COACH;UserRole.ELEVE;UserRole.PARENT; | prisma.copyPage.create;prisma.copySubmission.create;prisma.copySubmission.delete;prisma.copySubmission.update;
/api/parent/bilans/[id]/pdf | GET | CENTRALIZED | requireRole('PARENT'); | none | none
/api/parent/children | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | none
/api/parent/credit-request | POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | prisma.creditTransaction.create;
/api/parent/dashboard | GET | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | none
/api/parent/stages | GET | CENTRALIZED | requireRole('PARENT'); | none | none
/api/parent/subscription-requests | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | prisma.notification.create;prisma.subscriptionRequest.create;
/api/parent/subscriptions | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | prisma.notification.create;prisma.subscriptionRequest.create;
/api/payments/bank-transfer/confirm | POST | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | prisma.notification.createMany;prisma.payment.create;
/api/payments/check-pending | GET | INLINE_AUTH | auth() | session.user.role !== 'PARENT';; user.role !== 'PARENT';; role !== 'PARENT'; | none
/api/payments/clictopay/init | POST | INLINE_AUTH | auth() | none | none
/api/payments/clictopay/webhook | POST | PUBLIC | none | none | none
/api/payments/pending | GET | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/payments/validate | POST | INLINE_AUTH | auth() | ['ASSISTANTE', 'ADMIN'].includes; | prisma.invoice.update;prisma.payment.update;prisma.userDocument.create;
/api/programme/maths-1ere/progress | GET,POST | INLINE_AUTH | auth() | none | prisma.mathsProgress.upsert;
/api/programme/maths-1ere/rag | POST | INLINE_AUTH | auth() | none | none
/api/programme/maths-1ere-stmg/progress | GET,POST | INLINE_AUTH | auth() | none | prisma.mathsProgress.upsert;
/api/programme/maths-1ere-stmg/rag | POST | INLINE_AUTH | auth() | none | none
/api/programme/maths-1ere-stmg/stage-progress | GET,POST | INLINE_AUTH | auth() | none | none
/api/programme/maths-terminale/progress | GET,POST | INLINE_AUTH | auth() | none | prisma.mathsProgress.upsert;
/api/public-documents/corrige-dnb-maths-2026 | GET | PUBLIC | none | none | none
/api/reservation | GET,PATCH,POST | INLINE_AUTH | auth() | userRole !== 'ADMIN';userRole !== 'ASSISTANTE'; | prisma.stageReservation.create;prisma.stageReservation.update;prisma.stageReservation.updateMany;
/api/reservation/verify | POST | PUBLIC | none | none | none
/api/sessions/book | POST | CENTRALIZED | requireAnyRole([UserRole.PARENT, UserRole.ELEVE]); | session.user.role === 'ELEVE';session.user.role === 'PARENT';; user.role !== 'COACH';user.role === 'ELEVE';user.role === 'PARENT';; UserRole.ELEVE;UserRole.PARENT;; role !== 'COACH';role === 'ELEVE';role === 'PARENT'; | prisma.sessionNotification.createMany;prisma.sessionReminder.createMany;
/api/sessions/cancel | POST | CENTRALIZED | requireAnyRole([UserRole.ELEVE, UserRole.COACH, UserRole.ASSISTANTE]); | session.user.role === 'ASSISTANTE';session.user.role === 'COACH';session.user.role === 'ELEVE';; user.role === 'ASSISTANTE';user.role === 'COACH';user.role === 'ELEVE';; UserRole.ASSISTANTE;UserRole.COACH;UserRole.ELEVE;; role === 'ASSISTANTE';role === 'COACH';role === 'ELEVE'; | prisma.sessionBooking.update;
/api/sessions/video | POST | INLINE_AUTH | auth() | session.user.role === 'COACH';; user.role === 'COACH';; role === 'COACH'; | prisma.sessionBooking.update;
/api/stages | GET | PUBLIC | none | none | none
/api/stages/[stageSlug]/bilans | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE', 'COACH']);requireAnyRole(['COACH', 'ADMIN', 'ASSISTANTE']); | user.role === 'ADMIN';user.role === 'ASSISTANTE';user.role === 'COACH';; role === 'ADMIN';role === 'ASSISTANTE';role === 'COACH'; | prisma.stageBilan.upsert;
/api/stages/[stageSlug]/inscrire | POST | PUBLIC | none | none | prisma.stageReservation.create;
/api/stages/[stageSlug]/reservations/[reservationId]/confirm | POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | user.role === 'ELEVE';; role === 'ELEVE'; | prisma.stageReservation.update;prisma.student.create;prisma.user.create;
/api/stages/[stageSlug]/reservations | GET | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | none
/api/stages/[stageSlug] | GET | PUBLIC | none | none | none
/api/student/activate | GET,POST | PUBLIC | none | none | none
/api/student/automatismes/attempts/[id] | GET | INLINE_AUTH | auth() | session.user.role !== "ELEVE";; user.role !== "ELEVE";; role !== "ELEVE"; | none
/api/student/automatismes/attempts | GET,POST | INLINE_AUTH | auth() | session.user.role !== "ELEVE";; user.role !== "ELEVE";; role !== "ELEVE"; | prisma.assessment.create;
/api/student/automatismes/check-answer | POST | INLINE_AUTH | auth() | session.user.role !== "ELEVE";; user.role !== "ELEVE";; role !== "ELEVE"; | none
/api/student/automatismes/series/[id] | GET | INLINE_AUTH | auth() | session.user.role !== "ELEVE";; user.role !== "ELEVE";; role !== "ELEVE"; | none
/api/student/automatismes/series | GET | INLINE_AUTH | auth() | session.user.role !== "ELEVE";; user.role !== "ELEVE";; role !== "ELEVE"; | none
/api/student/bilans/[publicShareId] | GET | CENTRALIZED | requireRole('ELEVE'); | none | none
/api/student/credits | GET | CENTRALIZED | requireRole(UserRole.ELEVE); | UserRole.ELEVE; | none
/api/student/dashboard | GET | CENTRALIZED | requireRole(UserRole.ELEVE); | UserRole.ELEVE; | none
/api/student/documents/[id]/download | GET | CENTRALIZED | requireRole(UserRole.ELEVE); | UserRole.ELEVE; | none
/api/student/documents | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/student/nexus-index | GET | INLINE_AUTH | auth() | ['ELEVE', 'PARENT', 'ADMIN', 'ASSISTANTE'].includes;; role === 'PARENT'; | none
/api/student/resources/official/[slug] | GET | CENTRALIZED | requireRole(UserRole.ELEVE); | UserRole.ELEVE; | none
/api/student/resources | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/student/sessions | GET | CENTRALIZED | requireRole(UserRole.ELEVE); | UserRole.ELEVE; | none
/api/students/[studentId]/badges | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/student/stages | GET | CENTRALIZED | requireRole('ELEVE'); | none | none
/api/student/survival/phrases/[phraseId]/copied | POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | prisma.survivalProgress.upsert;
/api/student/survival/progress | GET,POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | prisma.survivalProgress.create;prisma.survivalProgress.upsert;
/api/student/survival/qcm/attempt | POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | prisma.survivalAttempt.create;prisma.survivalProgress.upsert;
/api/student/survival/reflexes/[reflexId]/attempt | POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | prisma.survivalAttempt.create;prisma.survivalProgress.upsert;
/api/student/survival/ritual | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/student/trajectory | GET | INLINE_AUTH | auth() | ['ELEVE', 'PARENT', 'ADMIN', 'ASSISTANTE'].includes;; role === 'PARENT'; | none
/api/subscriptions/aria-addon | POST | PUBLIC | none | none | none
/api/subscriptions/change | POST | PUBLIC | none | none | none
